Score,FIRST DOWNS,THIRD DOWN EFFICIENCY,FOURTH DOWN EFFICIENCY,TOTAL OFFENSE,NET YARDS PASSING,completionAttemptsNumber,completionAttemptsYards,NetYards,SackedNumber,SackedYards,intercepted,NET YARDS RUSHING,Rushing Attempts,Average gain per rush,PUNTS: Number,PUNTS: Yards,Average,TOTAL RETURN YARDS,PENALTIES: Number,PENALTIES: Yards,FUMBLES: Number,FUMBLES: Lost,SACKS: Number,SACKS: Yards,INTERCEPTIONS: Number,INTERCEPTIONS: Yards,TIME OF POSSESSION,Target Data
9.2222,-3.0,-11.2222,22.2222,-171.1111,-113.3333,-9.1111,-5.5556,-2.6667,1.0,10.2222,0.4444,-57.7778,8.2222,-2.1111,1.4444,50.2222,3.4444,37.1111,4.5556,37.6667,-2.2222,-1.3333,0.8889,13.8889,0.7778,25.6667,471.0,1
8.2222,-1.6667,-6.3333,-22.3333,9.1111,-84.6667,-8.3333,-14.5556,0.6333,0.0,-3.4444,-2.0,93.7778,13.3333,2.1333,1.0,35.1111,-1.2444,143.5556,1.6667,-6.8889,-0.5556,-1.0,-0.4444,-5.2222,0.5556,10.6667,216.8889,0
4.3333,8.6667,-2.6667,16.6667,56.3333,118.6667,7.6667,21.0,0.0333,-1.0,-3.6667,0.6667,-62.3333,-10.0,-1.4333,-2.0,-98.3333,-3.3667,2.3333,-0.3333,-20.0,0.0,0.0,1.0,3.6667,-1.0,-16.3333,38.6667,0
-4.7778,-3.4444,-11.5556,27.7778,-87.0,-111.0,-4.8889,-6.7778,-1.6667,-1.5556,-6.5556,0.1111,24.0,0.8889,0.7778,2.2222,87.0,3.7444,-62.3333,-5.8889,-54.3333,-0.6667,-1.1111,-0.1111,-4.0,1.4444,-17.8889,586.7778,0
-15.0,-3.0,4.0,0.0,-136.0,-240.0,-10.0,-10.0,-5.0,-3.0,-14.0,-3.0,104.0,7.0,1.9,-1.0,-32.0,0.8,71.0,4.0,80.0,2.0,0.0,-3.0,-19.0,1.0,0.0,398.0,1
-35.0,-3.7778,-23.5556,24.4444,-103.8889,-177.7778,-8.6667,-14.4444,-3.1111,2.0,18.6667,-0.7778,73.8889,12.6667,0.6444,5.2222,112.5556,-11.0778,-108.1111,-0.3333,-31.1111,1.8889,1.2222,1.5556,7.1111,0.3333,-9.0,-514.3333,1
11.0,1.0,15.3333,33.3333,-16.6667,-129.3333,-12.3333,-14.3333,-1.4667,-3.0,-22.0,0.3333,112.6667,13.0,2.1,-2.0,-15.6667,6.4333,-63.6667,7.3333,64.3333,1.6667,1.3333,1.0,7.3333,-0.6667,-53.3333,104.3333,0
4.0,0.6667,12.0,0.0,0.3333,-70.3333,-5.6667,-9.6667,-0.9333,-4.0,-23.6667,-0.3333,70.6667,5.6667,0.8667,-1.6667,-68.3333,-2.1667,-24.3333,-1.3333,-37.0,-0.6667,0.3333,-1.0,-8.0,0.0,17.6667,13.6667,0
-10.0,-1.6667,-2.6667,55.3333,-178.3333,178.0,14.0,22.0,0.3,1.0,20.0,-1.3333,-356.3333,-18.3333,-4.8333,3.0,105.3333,-0.7333,-120.3333,5.6667,75.6667,2.0,1.0,-0.6667,-14.3333,-0.6667,-56.6667,-712.6667,1
-17.7778,-10.0,-6.8889,-34.5556,-159.0,-132.5556,-9.6667,-8.1111,-2.6,1.3333,21.8889,-0.1111,-26.4444,-4.3333,-0.1444,3.1111,122.1111,2.2,34.3333,-0.5556,-2.6667,0.0,0.2222,0.1111,-0.5556,2.3333,20.0,-430.1111,1
0.7778,-0.4444,-12.8889,-27.7778,53.6667,-9.4444,-0.2222,0.1111,-0.3667,-1.1111,6.3333,1.7778,63.1111,4.8889,1.6667,1.0,31.2222,-0.9,14.1111,2.6667,1.3333,2.3333,1.0,0.0,0.5556,-1.0,-34.6667,-203.5556,1
-8.0,7.0,10.0,50.0,53.0,137.0,13.0,18.0,-0.3,0.0,1.0,1.0,-84.0,-7.0,-1.6,-3.0,-138.0,-5.8,-37.0,3.0,20.0,3.0,0.0,0.0,-6.0,-4.0,-52.0,333.0,1
31.0,3.0,7.0,-20.0,-6.0,21.0,-3.0,-16.0,2.3,0.0,3.0,-2.0,-27.0,11.0,-1.6,0.0,82.0,13.7,71.0,0.0,-6.0,1.0,0.0,2.0,8.0,2.0,55.0,837.0,1
-3.0,-6.0,4.3333,-33.0,-85.0,-87.6667,-8.0,-8.6667,-1.0,-1.3333,-7.0,1.0,2.6667,1.6667,-0.2,1.3333,57.6667,1.7,67.0,9.0,99.0,-1.3333,-0.3333,-1.3333,-12.3333,0.3333,13.3333,-320.0,1
-31.0,-14.0,-34.0,-50.0,-238.0,-72.0,2.0,7.0,-3.5,-1.0,-9.0,3.0,-166.0,-3.0,-3.6,-1.0,-26.0,3.0,130.0,8.0,85.0,3.0,1.0,-3.0,-23.0,-1.0,0.0,-302.0,1
18.0,9.3333,13.0,17.0,65.6667,249.0,20.3333,33.0,3.4667,2.6667,23.3333,0.3333,-183.3333,-11.6667,-1.8667,0.0,15.3333,3.8667,11.3333,-1.3333,-10.3333,-3.3333,-1.3333,-0.6667,-14.0,0.3333,-13.3333,1.3333,0
-25.0,-7.0,-4.6667,-33.3333,-199.3333,-276.0,-16.0,-19.0,-3.1333,2.6667,17.0,0.0,76.6667,14.6667,0.0,4.3333,146.0,-9.2,32.6667,-0.6667,-29.3333,1.3333,1.0,3.6667,26.3333,1.6667,39.3333,408.6667,1
-8.6667,-13.6667,-30.3333,0.0,-212.0,73.3333,7.3333,11.3333,1.0667,0.6667,16.0,0.3333,-285.3333,-31.0,-4.2667,3.3333,68.6667,-6.3333,153.3333,1.3333,20.6667,0.3333,0.3333,1.3333,7.6667,-0.6667,16.3333,-222.6667,0
1.3333,-3.3333,6.6667,0.0,-7.0,26.0,-3.3333,-6.3333,3.2,2.3333,-1.0,0.6667,-33.0,3.3333,-1.3,1.6667,80.3333,0.6667,85.3333,-3.0,-38.0,-1.0,-1.0,-2.0,-12.6667,-0.3333,27.6667,-45.6667,1
0.8889,10.1111,5.6667,34.8889,311.4444,158.5556,20.1111,15.7778,2.8222,0.7778,-1.4444,1.1111,152.8889,0.0,-1.5556,-2.4444,-67.6667,1.8,4.8889,-12.7778,-117.2222,-7.8889,-5.4444,-0.2222,-1.5556,0.2222,38.6667,411.3333,0
15.5556,13.1111,25.2222,14.3333,201.5556,156.6667,12.3333,7.6667,2.7333,0.2222,-9.1111,0.3333,44.8889,5.2222,1.2,-4.5556,-164.8889,-16.9778,-32.7778,-3.2222,-26.2222,-0.7778,-0.8889,-0.1111,-3.7778,-0.4444,-33.3333,286.3333,0
28.6667,12.6667,22.3333,5.6667,152.6667,46.0,9.3333,7.0,-0.1333,2.6667,17.0,-1.3333,106.6667,7.0,1.6667,-2.0,4.6667,18.8667,67.3333,0.3333,12.6667,-1.0,-1.0,-0.6667,-0.6667,1.0,-29.3333,307.0,0
31.6667,4.0,37.6667,11.6667,27.0,-120.0,-12.0,-25.0,1.6667,-1.0,-15.0,0.3333,147.0,15.6667,2.2667,-5.0,-156.6667,4.9522,-27.0,2.3333,30.6667,-3.0,-2.3333,2.6667,3.0,-0.3333,-3.6667,108.3333,1
42.1111,9.0,15.3333,64.4444,220.2222,285.5556,18.4444,16.2222,5.1889,-1.8889,-15.5556,0.2222,-65.3333,-8.5556,-0.6556,-2.8889,-77.6667,9.8778,-7.2222,0.2222,-10.2222,-1.7778,-1.0,-0.1111,1.8889,-0.3333,5.7778,-151.3333,0
-0.8889,5.1111,2.5556,22.2222,2.7778,-48.3333,7.3333,3.7778,-2.9333,-3.7778,-31.0,-0.4444,51.1111,-0.2222,1.3667,-2.7778,-99.4444,-1.0444,-50.2222,-1.3333,-15.4444,0.7778,1.1111,-1.2222,0.4444,1.1111,7.0,434.7778,1
8.6667,6.6667,17.4444,31.0,78.3333,66.4444,8.0,-2.8889,2.5667,0.5556,11.3333,-1.3333,11.8889,-4.1111,0.6333,-2.8889,-46.7778,7.6,43.3333,-3.0,-25.0,1.5556,0.5556,2.5556,16.2222,0.4444,17.7778,358.3333,1
-3.4815,-7.3333,-5.7407,-22.4074,-49.1111,-86.4444,-8.5926,-6.1481,-2.237,-0.3333,-0.6667,0.1111,37.3333,3.2593,0.7963,1.1481,44.2222,2.4185,40.963,-2.0,-19.5926,0.5185,1.0,0.8148,7.5185,-0.7037,17.8519,-184.7778,1
27.6667,6.8519,32.3704,14.2593,150.2593,95.963,4.0,5.7407,1.5741,-4.4444,-33.7778,-0.037,54.2963,1.0,1.4037,-4.2593,-133.5926,1.8963,56.2963,1.0,7.1852,0.1852,-0.1481,-0.037,3.1481,1.3333,14.3333,673.8889,0
-13.4074,-2.4074,-9.963,19.0,-144.7407,-82.3704,-4.1481,-3.3333,-1.8704,1.037,10.5926,1.6667,-62.3704,-3.5926,-1.2778,0.2222,-1.7778,-3.2222,-90.7407,-1.1111,-5.2593,-1.4074,-0.4444,1.1852,6.5185,0.3704,3.2593,268.2963,1
33.1111,10.6667,18.4444,7.5556,185.8889,150.0,9.963,14.5926,4.2444,-0.5926,-5.7407,-0.7778,35.8889,-14.9259,1.9704,-3.1852,-65.2963,15.6148,-18.3333,-2.3704,-9.4444,-1.7037,-1.4815,-0.1852,-0.4074,0.8519,-8.6667,-657.6667,0
8.2593,2.9259,4.8889,18.6667,31.037,-46.4815,-2.963,-7.7037,-0.0481,-1.0,-10.2593,0.8148,77.5185,14.8148,1.4963,-3.7037,-111.0,3.9963,38.0741,0.5556,22.963,0.1481,0.0,-0.1852,-8.963,0.3704,31.6667,332.5926,0
22.5556,10.1111,23.6667,0.1111,224.8889,79.7778,2.5556,-0.1111,4.5889,1.6667,-2.7778,0.8889,145.1111,17.1111,2.0333,-3.5556,-61.5556,10.0412,1.7778,4.2222,41.1111,-1.7778,-1.3333,0.6667,6.4444,0.3333,-13.4444,306.2222,0
4.0,-0.5556,6.7778,-17.1111,-16.2222,36.5556,2.8889,-4.6667,2.0889,0.5556,10.8889,1.1111,-52.7778,-4.5556,-0.8889,-5.0,-198.8889,-0.2556,60.5556,-2.0,-39.8889,3.2222,2.0,2.0,18.4444,-0.8889,11.8889,45.4444,0
